04	309.51392	270.46393	48470.32907120059	287.4621737525995
05	307.76978	276.15454	92340.67424320128	288.9143955024837
06	318.2832	278.19702	97271.60821730037	293.33153587861295
07	317.71118	277.70215	139001.72815919883	295.1986037011418
08	318.97388	278.45557	106286.97061500065	295.43758859192195
09	317.88818	278.1482	76322.7685748983	295.2435494439341
10	311.6577	270.60333	113630.45992829802	292.648857453582
01	294.53485	270.60333	80802.54275809837	284.14202069099565
11	299.20288	268.73056	75199.26409569876	284.92863531027297
02	297.76508	270.21588	41408.41587239984	286.8383830494436
12	306.60608	269.92175	64651.315945399256	283.28145431318814
03	306.60608	271.0848	75620.94398159995	288.5873759019719
