04	100.0	1.0	48470.329071200315	33.24974012474012
05	98.0	1.0	92340.67424319984	28.81575682382134
06	100.0	1.0	97271.60821730031	24.47441778405081
07	99.0	1.0	139001.72815919906	34.77459016393443
08	83.0	1.0	106286.97061500023	23.17535853976532
09	95.0	1.0	76322.76857489932	30.895505097312327
10	99.0	1.0	113630.45992830156	31.772380636604776
01	90.0	1.0	80802.54275810026	30.108865710560625
11	100.0	1.0	75199.26409569931	37.25371687136393
02	97.0	1.0	41408.41587239993	27.227335164835164
12	100.0	1.0	64651.31594539975	46.1183608058608
03	100.0	1.0	75620.94398159963	23.56841388699796
